Rank,Fortune 500 rank,Name,Industry,Revenue (USD millions),Profits (USD millions),Assets (USD millions),Employees,Headquarters
1,15,Shell plc,Oil and Gas,272657,20101,404379,82000,London
2,35,BP,Oil and Gas,164195,7565,287272,65000,London
3,126,Tesco,Retail,84192,2031,66219,231223,Welwyn Garden City
4,149,HSBC,Banking,77330,13917,2957939,219697,London
5,198,Aviva,Insurance,64240,2703,485481,22062,London
6,201,Rio Tinto,Mining,63495,21094,102896,49345,London
7,203,Legal & General,Insurance,62504,2819,789066,10743,London
8,205,Unilever,Consumer goods,62006,7151,85383,148044,London
9,222,Lloyds Banking Group,Banking,58476,7954,1200620,57955,London
10,247,Vodafone,Telecommunication,52931,2424,170749,96941,Newbury
11,294,GlaxoSmithKline,Pharmaceuticals,46914,6030,107129,90096,London
12,331,Anglo American,Mining,41554,8562,65985,62000,London
13,342,Sainsbury's,Retail,40831,924,35389,117000,London
14,374,Barclays,Banking,37561,9872,1874737,81600,London
15,381,AstraZeneca,Pharmaceuticals,37417,112,105363,83100,Cambridge
16,403,British American Tobacco,Consumer goods,35321,9353,186033,54365,London
17,426,Phoenix Group,Insurance,33749,"−1,151",452064,8045,London
18,463,Linde,Chemicals,30798,3826,81605,72327,Guildford
